estado,mes,temperatura,electricidad,usuarios
Colima,1,25,155685352,298978
Colima,2,25,146055616,299301
Colima,3,26,160812658,300681
Colima,4,25,154946989,301280
Colima,5,27,164255511,302287
Colima,6,29,165891780,302847
Colima,7,29,172714360,304044
Colima,8,29,177519102,305552
Colima,9,28,167770852,305917
Colima,10,28,162846170,306797
Colima,11,28,174945661,308212
Colima,12,26,160378189,309287
Sinaloa,1,20,381197265,1049314
Sinaloa,2,21,348556878,1051497
Sinaloa,3,24,382157245,1054105
Sinaloa,4,24.7,423607431,1056917
Sinaloa,5,26.6,517450785,1059948
Sinaloa,6,29.8,608897575,1063461
Sinaloa,7,30.7,720591223,1066356
Sinaloa,8,30.3,793987246,1069633
Sinaloa,9,29.6,806610653,1072455
Sinaloa,10,29.7,776766826,1074906
Sinaloa,11,26.1,176749185,1076850
Sinaloa,12,22.2,612503734,1078036
Aguascalientes,1,13.8,225869128,463383
Aguascalientes,2,14.7,218605066,465523
Aguascalientes,3,17.9,240531813,468305
Aguascalientes,4,18.8,236578558,469232
Aguascalientes,5,21.8,258032266,470554
Aguascalientes,6,23.5,258574907,471357
Aguascalientes,7,20.3,260455022,472025
Aguascalientes,8,21.3,234085309,473366
Aguascalientes,9,20,261068391,474128
Aguascalientes,10,17.8,208852426,475326
Aguascalientes,11,16.3,262349567,477163
Aguascalientes,12,13.5,198405652,476381
